time,addr,asn,length,frameType,slotOffset,frequency,l2Dest,txpower,numTxAttempts,L3Src,L3Dest,L4Proto,L4SrcPort,L4DestPort,succes_rx,succes_ack,list_rx
"2017-07-20 15:30:45,646",0001,72446,45,IEEE154_TYPE_BEACON,0,20,ffff92cc00000002,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['0009', '0002', '000c', '000d', '000b', '000e']"
"2017-07-20 15:30:45,723",0009,72457,45,IEEE154_TYPE_BEACON,0,11,ffff92cc00000001,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000c,IANA_UNDEFINED,155,0,1,0,"['0003', '000f', '000c', '0002', '000e', '000d']"
"2017-07-20 15:30:45,741",000b,72457,45,IEEE154_TYPE_BEACON,0,11,ffff92cc00000001,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['0007', '0006', '0004', '0001']"
"2017-07-20 15:30:45,808",0007,72468,45,IEEE154_TYPE_BEACON,0,26,ffff92cc0000000b,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000b,IANA_UNDEFINED,155,0,1,0,"['000f', '0003', '000b']"
"2017-07-20 15:30:45,836",000e,72468,95,IEEE154_TYPE_DATA,0,26,ffffffffffffffff,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000e,IANA_ICMPv6,155,0,1,0,"['0009', '0008', '0005', '0004', '0002', '000d']"
"2017-07-20 15:30:45,902",000c,72479,45,IEEE154_TYPE_BEACON,0,21,ffff92cc00000009,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc00000001,IANA_UNDEFINED,155,0,1,0,"['0009', '0006']"
"2017-07-20 15:30:45,915",0008,72479,45,IEEE154_TYPE_BEACON,0,21,ffff92cc0000000e,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['0007', '0004', '0003', '0005', '0002', '000f', '000b', '000e', '000d']"
"2017-07-20 15:30:45,994",0005,72490,45,IEEE154_TYPE_BEACON,0,12,ffff92cc00000008,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['000f', '000c', '0008', '0007', '0004', '0002', '000e', '000d']"
"2017-07-20 15:30:46,117",000e,72501,45,IEEE154_TYPE_BEACON,0,15,ffff92cc00000005,31,1,ff02000000000000000000000000001a,fe80000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['0002', '000b']"
"2017-07-20 15:30:46,126",000d,72501,45,IEEE154_TYPE_BEACON,0,15,ffff92cc00000005,31,1,ff02000000000000000000000000001a,bbbb000000000000141592cc0000000e,IANA_UNDEFINED,155,0,1,0,"['0009', '0008', '0007', '0005', '0004', '000f', '0003', '0001']"
