time,asn,src_res,dest_res,src_pkt,dest_pkt,command,status,ch1,slot1,ch2,slot2,ch3,slot3,id_res,succes,numAtt,state
"2017-08-23 16:37:08,927",4719,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,3,1,4,2
"2017-08-23 16:37:08,914",4719,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,3,1,0,3
"2017-08-23 16:37:08,916",4719,0009,0001,0001,0009,CELLADD_REP,ENQUEUED,,,,,,,3,1,0,4
"2017-08-23 16:37:08,932",4719,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:09,310",4752,000c,0001,0001,000c,CELLADD_REP,TXED,7,4,,,,,1,1,3,5
"2017-08-23 16:37:09,289",4752,000c,0001,000c,0001,CELLADD_REP,RCVD,7,4,,,,,1,1,0,6
"2017-08-23 16:37:09,408",4763,0009,0001,0009,0001,CELLADD_REQ,ENQUEUED,6,8,4,9,,,7,1,0,1
"2017-08-23 16:37:09,413",4763,0009,0001,0001,0009,CELLADD_REP,TXED,,,,,,,3,1,1,5
"2017-08-23 16:37:09,405",4763,0009,0001,0009,0001,CELLADD_REP,RCVD,,,,,,,3,1,0,6
"2017-08-23 16:37:09,501",4774,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,1,2
"2017-08-23 16:37:09,586",4785,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,,,2,2
"2017-08-23 16:37:09,599",4785,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,,,3,2
"2017-08-23 16:37:09,707",4796,0009,0001,0009,0001,CELLADD_REQ,TXED,,,,,,,7,1,3,2
"2017-08-23 16:37:09,692",4796,0009,0001,0001,0009,CELLADD_REQ,RCVD,,,,,,,7,1,0,3
"2017-08-23 16:37:09,693",4796,0009,0001,0001,0009,CELLADD_REP,ENQUEUED,4,9,,,,,7,1,0,4
"2017-08-23 16:37:09,819",4807,0009,0001,0001,0009,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:10,053",4829,0009,0001,0009,0001,CELLADD_REP,RCVD,4,9,,,,,7,1,0,6
"2017-08-23 16:37:10,043",4829,0009,0001,0001,0009,CELLADD_REP,TXED,4,9,,,,,7,1,2,5
"2017-08-23 16:37:10,246",4851,0008,0005,0005,0008,CELLADD_REP,ENQUEUED,6,8,,,,,6,1,0,4
"2017-08-23 16:37:10,244",4851,0008,0005,0005,0008,CELLADD_REQ,RCVD,,,,,,,6,1,0,3
"2017-08-23 16:37:10,254",4851,0008,0005,0008,0005,CELLADD_REQ,TXED,,,,,,,6,1,4,2
"2017-08-23 16:37:10,340",4862,0008,0005,0005,0008,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:10,445",4873,0008,0005,0008,0005,CELLADD_REP,RCVD,6,8,,,,,6,1,0,6
"2017-08-23 16:37:10,454",4873,0008,0005,0005,0008,CELLADD_REP,TXED,6,8,,,,,6,1,2,5
"2017-08-23 16:37:10,457",4873,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,7,15,10,6,,,8,1,0,1
"2017-08-23 16:37:10,535",4882,0005,0001,0005,0001,CELLADD_REQ,TXED,,,,,,,8,1,1,2
"2017-08-23 16:37:10,618",4882,0005,0001,0001,0005,CELLADD_REQ,RCVD,,,,,,,8,1,0,3
"2017-08-23 16:37:10,620",4884,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,,,1,5
"2017-08-23 16:37:10,898",4906,0005,0001,0001,0005,CELLADD_REP,TXED,,,,,,,8,1,2,5
"2017-08-23 16:37:10,889",4906,0005,0001,0005,0001,CELLADD_REQ,ENQUEUED,10,2,,,,,9,1,0,1
