asn,src,dest,owner,ch,slot,queuePos,info
217458,c280,8772,c280,,,,LinkRep rcvd - Res successful
217458,c280,8772,c280,,,2,LinkRep txed
217619,c280,8772,c280,,,9,linkreq enqueued
217661,c280,8772,,,,9,linkreq txed
217661,c280,8772,c280,9,64,2,LinkReq rcvd - LinkRep prepared
217662,c280,8772,c280,,,5,LinkRep failed
217864,c280,8772,c280,,,,LinkRep rcvd - Res successful
217864,c280,8772,c280,,,2,LinkRep txed
218025,c280,8772,c280,,,8,linkreq enqueued
218067,c280,8772,,,,8,linkreq txed
218067,c280,8772,c280,1,34,2,LinkReq rcvd - LinkRep prepared
218270,c280,8772,c280,,,2,LinkRep txed
218270,c280,8772,c280,,,,LinkRep rcvd - Res successful
218431,c280,8772,c280,,,6,linkreq enqueued
218473,c280,8772,,,,6,linkreq txed
218473,c280,8772,c280,6,4,2,LinkReq rcvd - LinkRep prepared
218879,c280,8772,c280,,,,LinkRep rcvd - Res successful
218879,c280,8772,c280,,,2,LinkRep txed
219040,c280,8772,c280,,,5,linkreq enqueued
219082,c280,8772,,,,5,linkreq txed
219082,c280,8772,c280,14,173,3,LinkReq rcvd - LinkRep prepared
219488,c280,8772,c280,,,,LinkRep rcvd - Res successful
219488,c280,8772,c280,,,3,LinkRep txed
227160,c280,b868,c280,,,1,linkreq enqueued
227258,c280,b868,,,,1,linkreq txed
227258,c280,b868,c280,1,103,3,LinkReq rcvd - LinkRep prepared
228581,c280,b868,c280,,,5,linkreq enqueued
229695,c280,b868,c280,,,3,LinkRep failed
230462,c280,b868,,,,5,LinkReq failed
230611,c280,b868,c280,,,5,linkreq enqueued
230658,c280,b868,,,,5,LinkReq failed
230814,c280,b868,c280,,,2,linkreq enqueued
230912,c280,b868,,,,2,linkreq txed
230912,c280,b868,c280,9,60,1,LinkReq rcvd - LinkRep prepared
233047,c280,b868,c280,,,7,linkreq enqueued
233145,c280,b868,,,,7,linkreq txed
233145,c280,b868,c280,9,114,4,LinkReq rcvd - LinkRep prepared
233349,c280,b868,c280,,,1,LinkRep failed
234874,c280,8772,c280,,,7,linkreq enqueued
234916,c280,8772,,,,7,linkreq txed
234916,c280,8772,c280,13,27,2,LinkReq rcvd - LinkRep prepared
235077,c280,8772,c280,,,7,linkreq enqueued
235582,c280,b868,c280,,,4,LinkRep failed
236110,c280,8772,c280,,,2,LinkRep failed
236740,c280,8772,,,,7,LinkReq failed
236904,c280,8772,c280,,,7,linkreq enqueued
236991,c280,8772,,,,7,LinkReq failed
237107,c280,8772,c280,,,7,linkreq enqueued
238367,c280,8772,,,,7,linkreq txed
238367,c280,8772,c280,15,184,1,LinkReq rcvd - LinkRep prepared
238773,c280,8772,c280,,,,LinkRep rcvd - Res successful
238773,c280,8772,c280,,,1,LinkRep txed
238934,c280,8772,c280,,,5,linkreq enqueued
238976,c280,8772,,,,5,linkreq txed
238976,c280,8772,c280,8,176,1,LinkReq rcvd - LinkRep prepared
239179,c280,8772,c280,,,,LinkRep rcvd - Res successful
239179,c280,8772,c280,,,1,LinkRep txed
239340,c280,8772,c280,,,7,linkreq enqueued
239382,c280,8772,,,,7,linkreq txed
239382,c280,8772,c280,3,195,1,LinkReq rcvd - LinkRep prepared
240194,c280,8772,c280,,,,LinkRep rcvd - Res successful
240194,c280,8772,c280,,,1,LinkRep txed
240355,c280,8772,c280,,,4,linkreq enqueued
240397,c280,8772,,,,4,linkreq txed
240397,c280,8772,c280,9,133,1,LinkReq rcvd - LinkRep prepared
240600,c280,8772,c280,,,,LinkRep rcvd - Res successful
240600,c280,8772,c280,,,1,LinkRep txed
242588,c280,b868,c280,,,1,linkreq enqueued
243943,c280,b868,,,,1,LinkReq failed
244009,c280,b868,c280,,,3,linkreq enqueued
246137,c280,b868,c280,12,197,3,LinkReq rcvd - LinkRep prepared
246167,c280,b868,,,,3,LinkReq failed
246242,c280,b868,c280,,,1,linkreq enqueued
246340,c280,b868,c280,,,3,LinkRep txed
246445,c280,b868,c280,,,2,linkreq enqueued
246545,c280,b868,,,,1,LinkReq failed
246648,c280,b868,c280,,,1,linkreq enqueued
248246,c280,b868,,,,1,LinkReq failed
248272,c280,b868,c280,,,1,linkreq enqueued
250089,c280,b868,,,,1,LinkReq failed
250099,c280,b868,c280,,,1,linkreq enqueued
252035,c280,b868,,,,1,LinkReq failed
252129,c280,b868,c280,,,1,linkreq enqueued
254052,c280,b868,,,,1,LinkReq failed
254054,c280,b868,c280,6,85,1,LinkReq rcvd - LinkRep prepared
254159,c280,b868,c280,,,1,linkreq enqueued
255475,c280,b868,c280,,,1,LinkRep txed
255580,c280,b868,c280,,,11,linkreq enqueued
256852,c280,b868,,,,1,LinkReq failed
257001,c280,b868,c280,,,10,linkreq enqueued
258529,c280,8772,,,,10,LinkReq failed
258625,c280,8772,c280,,,10,linkreq enqueued
260088,c280,8772,,,,11,LinkReq failed
260249,c280,8772,c280,,,11,linkreq enqueued
260697,c280,8772,,,,11,linkreq txed
260697,c280,8772,c280,5,48,1,LinkReq rcvd - LinkRep prepared
261306,c280,8772,c280,,,,LinkRep rcvd - Res successful
261306,c280,8772,c280,,,1,LinkRep txed
261467,c280,8772,c280,,,2,linkreq enqueued
261712,c280,8772,,,,10,linkreq txed
261712,c280,8772,c280,6,79,1,LinkReq rcvd - LinkRep prepared
262321,c280,8772,c280,4,71,3,LinkReq rcvd - LinkRep prepared
263294,c280,8772,c280,,,1,linkreq enqueued
263336,c280,8772,,,,1,linkreq txed
263336,c280,8772,c280,13,123,6,LinkReq rcvd - LinkRep prepared
264148,c280,8772,c280,,,,LinkRep rcvd - Res successful
264148,c280,8772,c280,,,6,LinkRep txed
264149,c280,8772,c280,,,1,LinkRep failed
264309,c280,8772,c280,,,1,linkreq enqueued
264327,c280,8772,c280,,,3,LinkRep failed
264351,c280,8772,,,,1,linkreq txed
264351,c280,8772,c280,4,31,1,LinkReq rcvd - LinkRep prepared
264757,c280,8772,c280,,,1,LinkRep failed
367230,c280,b868,c280,,,1,linkreq enqueued
367328,c280,b868,,,,1,linkreq txed
367328,c280,b868,c280,14,199,1,LinkReq rcvd - LinkRep prepared
369463,c280,8772,c280,,,2,linkreq enqueued
369505,c280,8772,,,,2,linkreq txed
369505,c280,8772,c280,11,26,1,LinkReq rcvd - LinkRep prepared
369708,c280,8772,c280,,,,LinkRep rcvd - Res successful
369708,c280,8772,c280,,,1,LinkRep txed
369765,c280,b868,c280,,,1,LinkRep failed
369869,c280,8772,c280,,,2,linkreq enqueued
369911,c280,8772,,,,2,linkreq txed
369911,c280,8772,c280,7,124,1,LinkReq rcvd - LinkRep prepared
370520,c280,8772,c280,,,,LinkRep rcvd - Res successful
370520,c280,8772,c280,,,1,LinkRep txed
382455,c280,b868,c280,,,1,linkreq enqueued
384224,c280,b868,,,,1,LinkReq failed
385297,c280,b868,c280,,,1,linkreq enqueued
385801,c280,b868,c280,14,18,1,LinkReq rcvd - LinkRep prepared
387327,c280,b868,c280,,,8,linkreq enqueued
388238,c280,b868,c280,,,1,LinkRep failed
389204,c280,b868,,,,1,LinkReq failed
389357,c280,b868,c280,,,10,linkreq enqueued
391282,c280,b868,,,,10,linkreq txed
391282,c280,b868,c280,11,21,2,LinkReq rcvd - LinkRep prepared
391891,c280,b868,c280,7,73,1,LinkReq rcvd - LinkRep prepared
392500,c280,b868,c280,,,,LinkRep rcvd - Res successful
392605,c280,b868,c280,,,2,linkreq enqueued
392702,c280,b868,c280,3,13,4,LinkReq rcvd - LinkRep prepared
392816,b868,c280,8772,,,3,linkreq enqueued
393719,c280,b868,c280,,,2,LinkRep failed
394328,c280,b868,c280,,,1,LinkRep failed
394677,c280,8772,,,,2,LinkReq failed
394838,c280,8772,c280,,,9,linkreq enqueued
394846,b868,c280,,,,3,LinkReq failed
394880,c280,8772,,,,9,linkreq txed
394880,c280,8772,c280,13,70,1,LinkReq rcvd - LinkRep prepared
395049,b868,c280,8772,,,1,linkreq enqueued
395083,c280,8772,c280,,,1,LinkRep txed
395083,c280,8772,c280,,,,LinkRep rcvd - Res successful
395139,c280,b868,c280,,,4,LinkRep failed
395244,c280,8772,c280,,,8,linkreq enqueued
395286,c280,8772,,,,8,linkreq txed
395286,c280,8772,c280,0,86,2,LinkReq rcvd - LinkRep prepared
395692,c280,8772,c280,,,,LinkRep rcvd - Res successful
395692,c280,8772,c280,,,2,LinkRep txed
395853,c280,8772,c280,,,8,linkreq enqueued
395895,c280,8772,,,,8,linkreq txed
395895,c280,8772,c280,4,173,1,LinkReq rcvd - LinkRep prepared
396098,c280,8772,c280,,,,LinkRep rcvd - Res successful
396098,c280,8772,c280,,,1,LinkRep txed
396259,c280,8772,c280,,,6,linkreq enqueued
396504,c280,8772,,,,6,linkreq txed
396504,c280,8772,c280,8,93,2,LinkReq rcvd - LinkRep prepared
396662,b868,c280,,,,1,LinkReq failed
396910,c280,8772,c280,,,,LinkRep rcvd - Res successful
396910,c280,8772,c280,,,2,LinkRep txed
